,FishingMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combination,Combination,Combination,Combination,Diving,Diving,Diving,Diving,Line,Line,Line,Line,Net,Net,Net,Net,Other,Other,Other,Other,Pot,Pot,Pot,Pot,Licences,Days,Tonnes,DiscardNumber
CalendarYear,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,,,,
1992,,,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A
1993,,,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A
1994,,,,,,,,,45,1636,106.4,0,,,,,,,,,,,,,45,1636,106.4,0
1995,,,,,N/A,N/A,N/A,N/A,46,2458,181.12,0,,,,,,,,,,,,,46,2471,182.35,0
1996,,,,,13,86,6.73,58,166,8530,357.74,43092,,,,,,,,,,,,,166,8616,364.46,43150
1997,,,,,8,105,9.57,170,213,13592,461.42,102749.5,,,,,,,,,,,,,213,13697,470.99,102919.5
1998,,,,,11,45,2.95,53,292,15491,518.39,118630.5,,,,,,,,,,,,,292,15536,521.33,118683.5
1999,N/A,N/A,N/A,N/A,6,60,3.66,162,322,16620,546.95,132048,,,,,,,,,,,,,322,16684,550.63,132246
2000,8,37,0.33,1027,13,84,4.91,249,306,17825,494.07,130121,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,306,17961,499.3,131397
2001,8,51,4.53,24,14,84,4.92,67,302,19772,587.95,152344,,,,,21,61,,,,,,,304,19968,597.41,152435
2002,7,55,4.94,228,12,65,4.04,33,347,22337,657.54,191790,,,,,120,517,,,,,,,349,22974,666.52,192051
2003,21,110,8.32,796,10,50,3.35,5,353,22890,676.1,199325,,,,,176,1034,,,,,,,355,24084,687.78,200126
2004,10,22,1.07,118,10,46,2.7,5,368,23420,685.85,206952,,,,,148,806,,,,,,,372,24294,689.62,207075
2005,10,60,4.48,137,8,33,2.84,18,352,23293,723.56,196775,,,,,121,615,,,,,,,355,24001,730.88,196930
2006,7,29,1.87,18,32,231,11.88,315,291,19311,698.72,166998,,,,,48,95,,,N/A,N/A,N/A,N/A,292,19664,712.47,167337
2007,N/A,N/A,N/A,N/A,12,94,6.62,3,261,17398,647.61,143859,,,,,,,,,N/A,N/A,N/A,N/A,263,17528,656.34,143862
2008,12,172,3.7,3815,11,83,6.34,103,254,15693,668.83,125338,,,,,,,,,N/A,N/A,N/A,N/A,255,15981,679.04,129256
2009,20,265,15.94,4704,11,64,4.41,84,236,15071,685.22,118757,,,,,,,,,N/A,N/A,N/A,N/A,238,15404,705.69,123545
2010,15,137,14.37,1488,9,59,4.26,5,221,13851,651.52,136947,,,,,,,,,N/A,N/A,N/A,N/A,221,14063,670.28,138440
2011,9,45,4.68,72,15,121,7.67,49,188,12591,554.87,127136,,,,,,,,,N/A,N/A,N/A,N/A,189,12816,567.44,127264
2012,13,82,7.59,448,10,97,7.81,179,172,11485,459.98,98954,,,,,,,,,,,,,172,11660,475.38,99581
2013,13,154,14.94,1511,7,121,9.57,12,159,10975,428.91,95486,,,,,,,,,N/A,N/A,N/A,N/A,159,11313,453.6,97009
2014,N/A,N/A,N/A,N/A,9,105,5.87,39,143,10257,426.02,85356,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,143,10471,434.8,85460
2015,N/A,N/A,N/A,N/A,12,134,9.76,806,135,8950,347.42,87078,,,,,,,,,N/A,N/A,N/A,N/A,135,9135,360.17,88139
2016,N/A,N/A,N/A,N/A,8,125,9.15,355,143,9970,483.28,89718,,,,,,,,,N/A,N/A,N/A,N/A,143,10110,493.8,90105
2017,13,112,14.02,849,6,69,4.38,22,156,11143,509.32,104625,,,,,,,,,N/A,N/A,N/A,N/A,156,11351,527.75,105508
2018,11,88,8.22,665,6,46,4.97,2,146,11575,530.32,103158,,,,,,,,,N/A,N/A,N/A,N/A,146,11723,543.54,103831
2019,6,77,12.7,960,6,39,1.74,54,142,11233,522.47,93053,,,,,,,,,,,,,142,11346,536.9,94067
2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127,7070,303.71,63367,,,,,,,,,,,,,127,7146,311.25,63595
2021,6,31,3.25,3,N/A,N/A,N/A,N/A,116,9270,471.91,77000,,,,,7,13,,,,,,,116,9358,478.73,77018
2022,9,107,9.07,783,6,19,1.42,12,125,9967,451.94,84703.3,,,,,7,7,,,,,,,125,10099,462.44,85498.3
2023,10,136,11.15,737,8,40,2.71,0,129,10258,"1,329.54",106161.5,,,,,24,44,,,,,,,130,10468,"1,343.40",106898.5
2024 incomplete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,2416,94.63,22893.5,,,,,5,7,,,,,,,96,2454,97.26,23089.5
Grand Total,96,1956,162.28,19129,145,2204,151.09,2883,1558,406435,"16,277.44",3404415.3,N/A,N/A,N/A,N/A,381,3213,,,7,389,1.17,42,1563,414099,"16,592.05",3426516.3
